OBJECTID,StopNumber,Latitude,Longitude,Route,Effective Date,x,y
215,155,43.562574,-79.722892,13,2025/09/01,-79.722892,43.562574
216,156,43.564171,-79.725644,13,2025/09/01,-79.725644,43.564171
217,157,43.566372,-79.729288,13,2025/09/01,-79.7292879999999,43.5663720000001
218,160,43.547222,-79.699795,13,2025/09/01,-79.6997949999999,43.547222
219,161,43.545011,-79.694569,13,2025/09/01,-79.6945689999999,43.545011
220,162,43.544368,-79.693467,13,2025/09/01,-79.6934669999999,43.5443680000001
221,177,43.625958,-79.655026,53,2025/09/01,-79.655026,43.625958
222,178,43.631036,-79.661929,39,2025/09/01,-79.661929,43.631036
223,178,43.631036,-79.661929,53,2025/09/01,-79.661929,43.631036
224,179,43.634128,-79.666075,53,2025/09/01,-79.666075,43.634128
225,180,43.63795,-79.671136,53,2025/09/01,-79.671136,43.63795
226,181,43.643063,-79.677941,53,2025/09/01,-79.677941,43.643063
227,182,43.647654,-79.684127,53,2025/09/01,-79.684127,43.647654
228,190,43.61691,-79.666654,17,2025/09/01,-79.6666539999999,43.6169100000001
229,191,43.616925,-79.667137,17,2025/09/01,-79.667137,43.616925
230,193,43.647833,-79.684805,53,2025/09/01,-79.684805,43.6478330000001
231,194,43.643159,-79.678522,53,2025/09/01,-79.678522,43.643159
232,196,43.634261,-79.66668,53,2025/09/01,-79.66668,43.634261
233,197,43.626174,-79.655765,53,2025/09/01,-79.655765,43.626174
234,198,43.539403,-79.675934,13,2025/09/01,-79.675934,43.539403
235,199,43.539461,-79.676321,13,2025/09/01,-79.676321,43.5394610000001
236,208,43.513267,-79.627332,23,2025/09/01,-79.627332,43.513267
237,209,43.515338,-79.62512,23,2025/09/01,-79.62512,43.515338
238,210,43.517072,-79.623249,23,2025/09/01,-79.623249,43.517072
239,211,43.518973,-79.621152,23,2025/09/01,-79.6211519999999,43.5189730000001
240,212,43.506741,-79.624511,14,2025/09/01,-79.624511,43.506741
241,212,43.506741,-79.624511,29,2025/09/01,-79.624511,43.506741
242,214,43.52403,-79.615604,23,2025/09/01,-79.615604,43.52403
243,216,43.531725,-79.607236,23,2025/09/01,-79.6072359999999,43.5317250000001
244,218,43.542869,-79.595146,23,2025/09/01,-79.5951459999999,43.542869
245,219,43.54023,-79.598029,23,2025/09/01,-79.5980289999999,43.5402300000001
246,221,43.544513,-79.593424,23,2025/09/01,-79.593424,43.544513
247,222,43.545863,-79.59187,23,2025/09/01,-79.59187,43.5458630000001
248,223,43.547719,-79.589772,23,2025/09/01,-79.589772,43.547719
249,224,43.549976,-79.587342,14,2025/09/01,-79.587342,43.5499760000001
250,224,43.549976,-79.587342,23,2025/09/01,-79.587342,43.5499760000001
251,225,43.526589,-79.612811,23,2025/09/01,-79.612811,43.5265890000001
252,226,43.54951,-79.591909,14,2025/09/01,-79.591909,43.54951
253,227,43.55076,-79.597673,14,2025/09/01,-79.597673,43.55076
254,228,43.550785,-79.602662,14,2025/09/01,-79.602662,43.5507850000001
255,229,43.547266,-79.606444,14,2025/09/01,-79.606444,43.547266
256,230,43.542453,-79.611989,14,2025/09/01,-79.6119889999999,43.5424530000001
257,231,43.541834,-79.613625,14,2025/09/01,-79.613625,43.5418340000001
258,232,43.540299,-79.617769,14,2025/09/01,-79.617769,43.5402990000001
259,233,43.538695,-79.622113,14,2025/09/01,-79.622113,43.5386950000001
260,234,43.537395,-79.625621,14,2025/09/01,-79.625621,43.5373950000001
261,235,43.536499,-79.628107,14,2025/09/01,-79.6281069999999,43.536499
262,236,43.535208,-79.627168,14,2025/09/01,-79.627168,43.5352080000001
